#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T17:28:20
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml17705
#INFO	CatalogsExamined=6
#  6 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=2125
#Name: II/125
#Title:	IRAS catalogue of Point Sources, Version 2.0 (IPAC 1986)
#Table	II_125_main:
#Name: II/125/main
#Title:	IRAS Point Sources
#Coosys	B1950_1983.500:	eq_FK4 1950_1983.500
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RA1950=20 30 59.8, DE1950=+40 49 43)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000.0 Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000.0 Epoch=J1983.5 (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	IRAS	(A11)	IRAS source name        (link)	[ucd=ID_MAIN]
#Column	RA1950	(A10)	Hours RA, equinox 1950.0, epoch 1983.5	[ucd=POS_EQ_RA_MAIN]
#Column	DE1950	(A9)	Degrees Dec, equinox 1950.0, epoch 1983.5	[ucd=POS_EQ_DEC_MAIN]
#Column	Fnu_12	(E9.2)	Average non-color corrected flux density, 12um	[ucd=PHOT_FLUX_IR_12]
#Column	Fnu_25	(E9.2)	Average non-color corrected flux density, 25um	[ucd=PHOT_FLUX_IR_25]
#Column	Fnu_60	(E9.2)	Average non-color corrected flux density, 60um	[ucd=PHOT_FLUX_IR_60]
#Column	Fnu_100	(E9.2)	Average non-color corrected flux density, 100um	[ucd=PHOT_FLUX_IR_100]
#Column	FQual_12	(I1)	Flux density quality, 12um	[ucd=CODE_QUALITY]
#Column	FQual_25	(I1)	Flux density quality, 25um	[ucd=CODE_QUALITY]
#Column	FQual_60	(I1)	Flux density quality, 60um	[ucd=CODE_QUALITY]
#Column	FQual_100	(I1)	Flux density quality, 100um	[ucd=CODE_QUALITY]
#Column	NLRS	(I2)	Number of significant LRS spectra        (link)	[ucd=NUMBER]
#Column	NID	(I2)	Number of positional associations        (link)	[ucd=NUMBER]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	IRAS	RA1950	DE1950	Fnu_12	Fnu_25	Fnu_60	Fnu_100	FQual_12	FQual_25	FQual_60	FQual_100	NLRS	NID
	deg	deg	deg	deg	deg		"h:m:s"	"d:m:s"	Jy	Jy	Jy	Jy						
--------	--------	------	------	--------	--------	-----------	----------	---------	---------	---------	---------	---------	-	-	-	-	--	--
  214757	 9.96078	069.97	+00.14	301.7058	+32.4980	20048+3221 	20 04 51.8	+32 21 10	 3.14e-01	 2.50e-01	 1.76e+00	 4.28e+01	1	1	3	1	 0	 0
  215136	 9.98204	069.98	-00.20	302.0495	+32.3150	20062+3210 	20 06 13.9	+32 10 06	 3.73e-01	 2.50e-01	 1.97e+00	 5.24e+01	1	1	3	1	 0	 0
  214596	 9.95064	069.98	+00.27	301.5814	+32.5700	20043+3225 	20 04 22.1	+32 25 31	 2.89e-01	 1.30e+00	 3.96e+00	 6.13e+01	2	3	3	1	 0	 0
  214039	 9.93948	069.98	+00.73	301.1184	+32.8212	20025+3240 	20 02 31.5	+32 40 42	 1.19e+00	 3.93e-01	 4.35e+00	 6.28e+01	3	2	1	1	 0	 3
  213500	 9.94962	069.98	+01.19	300.6637	+33.0643	20007+3255 	20 00 42.9	+32 55 24	 6.78e-01	 1.16e+00	 1.27e+01	 5.32e+01	2	3	3	1	 0	 1
  214548	 9.90910	070.02	+00.34	301.5359	+32.6407	20041+3229 	20 04 11.3	+32 29 46	 1.46e+00	 2.79e-01	 1.67e+00	 6.03e+01	1	1	3	1	 0	 0
  212842	 9.95856	070.02	+01.78	300.0886	+33.4088	19584+3316 	19 58 25.6	+33 16 13	 2.99e+00	 2.42e+00	 1.23e+01	 1.38e+02	3	3	1	1	 0	 0
  214938	 9.91925	070.02	+00.01	301.8758	+32.4654	20055+3219 	20 05 32.5	+32 19 10	 8.31e-01	 3.00e-01	 4.21e+00	 7.42e+01	3	3	1	1	 0	 0
  215629	 9.97606	070.03	-00.60	302.4795	+32.1382	20079+3159 	20 07 56.7	+31 59 23	 4.67e-01	 2.50e-01	 6.90e+00	 9.09e+01	3	1	1	1	 0	 2
  215706	 9.98294	070.03	-00.67	302.5499	+32.1021	20082+3157 	20 08 13.5	+31 57 12	 6.31e-01	 2.50e-01	 6.72e+00	 8.34e+01	3	1	1	1	 0	 0
  214226	 9.89129	070.03	+00.61	301.2725	+32.7963	20031+3239 	20 03 08.4	+32 39 10	 9.14e-01	 7.24e-01	 2.99e+00	 2.46e+01	1	1	1	3	 0	 0
  213965	 9.89072	070.03	+00.83	301.0494	+32.9167	20022+3246 	20 02 15.1	+32 46 27	 1.38e+00	 4.65e-01	 3.25e+00	 2.12e+01	1	3	3	1	 0	 1
  214641	 9.89609	070.03	+00.27	301.6158	+32.6163	20045+3228 	20 04 30.4	+32 28 17	 3.10e-01	 2.58e-01	 5.74e+00	 4.66e+01	3	1	1	1	 0	 0
  212951	 9.93828	070.03	+01.69	300.1894	+33.3692	19588+3313 	19 58 49.7	+33 13 49	 5.51e-01	 9.16e-01	 6.09e+00	 8.07e+01	3	3	2	1	 0	 0
