#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T17:28:20
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml17705
#INFO	CatalogsExamined=6
#  6 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=2126
#Name: II/126
#Title:	IRAS Serendipitous Survey Catalog (IPAC 1986)
#Table	II_126_sources:
#Name: II/126/sources
#Title:	Properties of the point sources identified
#Coosys	B1950:	eq_FK4 1950
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RA1950=20 30 59.9, DE1950=+40 49 43)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	IRAS	(A11)	IRAS/SSC Source Name (1)        (link)	[ucd=ID_MAIN]
#Column	RA1950	(A10)	Right Ascension 1950 (hours)	[ucd=POS_EQ_RA_MAIN]
#Column	DE1950	(A9)	Declination 1950 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	ANGLE	(I3)	Position Angle of SSC Source Error Box expressed in degrees East of North.	[ucd=ERROR]
#Column	FLUX12	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_12]
#Column	FLUX25	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_25]
#Column	FLUX60	(E9.2)	Averaged Non-color Corrected Flux Densities(2)	[ucd=PHOT_FLUX_IR_60]
#Column	RGRID	(I5)	Reference Grid Number        (link)	[ucd=REFER_CODE]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	IRAS	RA1950	DE1950	ANGLE	FLUX12	FLUX25	FLUX60	RGRID
	deg	deg	deg	deg	deg		"h:m:s"	"d:m:s"		Jy	Jy	Jy	
--------	--------	------	------	--------	--------	-----------	----------	---------	---	---------	---------	---------	-----
   35797	 9.99793	069.93	+00.93	300.8897	+32.8766	20016+3244 	20 01 36.8	+32 44 05	 67	 1.22e-01	 1.25e-01	 6.02e-01	 3036
   35804	 9.99167	069.93	+00.85	300.9734	+32.8378	20019+3241 	20 01 56.8	+32 41 44	 67	 9.85e-02	 1.25e-01	 6.02e-01	 3036
   35814	 9.98459	069.94	+00.75	301.0713	+32.7929	20023+3239 	20 02 20.2	+32 39 01	 67	 1.22e-01	 1.25e-01	 1.07e+00	 3036
   35828	 9.98251	069.94	+00.67	301.1588	+32.7486	20026+3236 	20 02 41.1	+32 36 20	 67	 1.10e-01	 1.25e-01	 6.02e-01	 3036
   35610	 9.96410	069.98	+01.30	300.5486	+33.1146	20002+3258 	20 00 15.4	+32 58 27	 84	 1.42e-01	 1.69e-01	 8.02e-01	 2049
   35821	 9.94006	069.98	+00.74	301.1171	+32.8212	20025+3240 	20 02 31.2	+32 40 42	 67	 1.06e+00	 3.51e-01	 6.02e-01	 3036
   35623	 9.94602	069.99	+01.18	300.6716	+33.0641	20007+3255 	20 00 44.8	+32 55 23	 84	 5.05e-01	 1.13e+00	 1.61e+01	 2049
   35642	 9.93722	069.99	+01.05	300.8097	+32.9949	20012+3251 	20 01 17.8	+32 51 12	 84	 1.65e-01	 1.69e-01	 8.02e-01	 2049
   35831	 9.91786	070.00	+00.64	301.2312	+32.7867	20029+3238 	20 02 58.5	+32 38 36	 67	 1.22e-01	 1.25e-01	 2.14e+00	 3036
   35811	 9.89092	070.03	+00.83	301.0489	+32.9167	20022+3246 	20 02 15.0	+32 46 27	 67	 1.22e-01	 4.28e-01	 3.06e+00	 3036
   35824	 9.87558	070.04	+00.75	301.1451	+32.8827	20026+3244 	20 02 38.0	+32 44 23	 67	 8.59e-01	 4.51e-01	 6.02e-01	 3036
   35602	 9.89612	070.05	+01.41	300.4827	+33.2383	19599+3305 	19 59 59.8	+33 05 53	 84	 3.13e+00	 1.42e+00	 8.02e-01	 2049
   35566	 9.91113	070.06	+01.65	300.2386	+33.3720	19590+3313 	19 59 01.5	+33 13 58	 84	 1.42e-01	 7.76e-01	 8.02e-01	 2049
   35639	 9.86648	070.06	+01.13	300.7728	+33.1020	20011+3257 	20 01 09.1	+32 57 38	 84	 1.08e+00	 5.04e-01	 8.02e-01	 2049
   35805	 9.84504	070.08	+00.93	300.9786	+33.0106	20019+3252 	20 01 58.3	+32 52 06	 67	 1.22e-01	 4.76e-01	 6.02e-01	 3036
   35627	 9.84820	070.09	+01.22	300.6993	+33.1672	20008+3301 	20 00 51.6	+33 01 34	 84	 2.93e-01	 2.34e-01	 1.97e+00	 2049
   35600	 9.86079	070.09	+01.45	300.4687	+33.2907	19599+3309 	19 59 56.5	+33 09 02	 84	 1.42e-01	 3.26e-01	 2.53e+00	 2049
   35609	 9.85163	070.09	+01.37	300.5444	+33.2557	20002+3306 	20 00 14.6	+33 06 55	 84	 1.42e-01	 1.69e-01	 1.49e+00	 2049
   36334	 9.99894	070.10	-01.21	303.1263	+31.8670	20105+3142 	20 10 31.3	+31 42 57	 74	 1.02e-01	 2.58e-01	 3.84e-01	 2774
   35585	 9.85423	070.10	+01.55	300.3764	+33.3562	19595+3312 	19 59 34.5	+33 12 59	 84	 7.00e+00	 5.87e+00	 8.02e-01	 2049
   36323	 9.95959	070.11	-01.05	302.9776	+31.9633	20099+3148 	20 09 55.8	+31 48 46	 74	 1.02e-01	 2.49e-01	 2.42e+00	 2774
   35812	 9.81192	070.11	+00.88	301.0525	+33.0093	20022+3252 	20 02 16.0	+32 52 00	 67	 2.22e-01	 1.25e-01	 6.02e-01	 3036
   35563	 9.83587	070.14	+01.73	300.2121	+33.4841	19589+3320 	19 58 55.3	+33 20 42	 84	 2.58e+00	 2.13e+01	 1.34e+02	 2049
   35815	 9.77832	070.14	+00.88	301.0774	+33.0357	20023+3253 	20 02 22.0	+32 53 35	 67	 1.22e-01	 1.25e-01	 4.01e+00	 3036
   35616	 9.79130	070.15	+01.33	300.6210	+33.2838	20005+3308 	20 00 33.0	+33 08 35	 84	 5.25e-01	 1.69e-01	 8.02e-01	 2049
   35584	 9.80442	070.16	+01.58	300.3723	+33.4211	19595+3316 	19 59 33.6	+33 16 53	 84	 2.80e-01	 1.69e-01	 8.02e-01	 2049
   36329	 9.92492	070.16	-01.12	303.0794	+31.9640	20103+3148 	20 10 20.2	+31 48 47	 74	 1.25e-01	 2.09e-01	 3.84e-01	 2774
   36354	 9.96694	070.16	-01.36	303.3151	+31.8361	20112+3141 	20 11 16.5	+31 41 03	 74	 1.02e-01	 1.12e-01	 4.56e+00	 2774
   35598	 9.78689	070.17	+01.50	300.4585	+33.3890	19599+3314 	19 59 54.2	+33 14 56	 84	 1.84e-01	 2.96e-01	 8.02e-01	 2049
   36343	 9.91858	070.19	-01.25	303.2312	+31.9171	20109+3145 	20 10 56.5	+31 45 56	 74	 1.23e-01	 2.28e-01	 3.84e-01	 2774
   36335	 9.89572	070.19	-01.15	303.1277	+31.9784	20105+3149 	20 10 31.8	+31 49 38	 74	 3.50e-01	 1.12e-01	 3.84e-01	 2774
   36326	 9.86779	070.20	-01.05	303.0368	+32.0416	20101+3153 	20 10 10.1	+31 53 27	 74	 1.02e-01	 1.37e-01	 3.84e-01	 2774
   36411	 9.96123	070.22	-01.60	303.5843	+31.7535	20123+3136 	20 12 20.9	+31 36 02	 73	 1.03e-01	 2.80e-01	 3.49e-01	 2793
   36396	 9.95842	070.22	-01.60	303.5893	+31.7549	20123+3136 	20 12 22.1	+31 36 07	 74	 1.79e-01	 2.32e-01	 3.84e-01	 2774
   36322	 9.82835	070.23	-00.96	302.9617	+32.1124	20098+3157 	20 09 52.2	+31 57 43	 74	 1.21e-01	 1.12e-01	 3.84e-01	 2774
   36330	 9.84427	070.23	-01.08	303.0852	+32.0496	20103+3153 	20 10 21.7	+31 53 55	 74	 1.13e-01	 1.12e-01	 3.84e-01	 2774
   36438	 9.99841	070.24	-01.83	303.8208	+31.6409	20132+3129 	20 13 17.4	+31 29 13	 73	 6.95e-01	 3.01e-01	 3.49e-01	 2793
   35628	 9.69926	070.24	+01.31	300.7041	+33.3472	20008+3312 	20 00 53.0	+33 12 22	 84	 2.62e-01	 1.69e-01	 8.02e-01	 2049
   36381	 9.91441	070.24	-01.48	303.4870	+31.8351	20119+3140 	20 11 57.7	+31 40 57	 74	 1.02e-01	 1.56e-01	 1.35e+00	 2774
   35570	 9.73421	070.24	+01.73	300.2779	+33.5702	19591+3325 	19 59 11.2	+33 25 51	 84	 3.67e+00	 1.69e-01	 8.02e-01	 2049
   35575	 9.72975	070.25	+01.71	300.2938	+33.5655	19592+3325 	19 59 15.0	+33 25 34	 84	 1.73e-01	 1.69e-01	 1.40e+02	 2049
   36367	 9.87747	070.26	-01.39	303.4107	+31.9001	20116+3144 	20 11 39.5	+31 44 52	 74	 1.90e-01	 2.51e-01	 2.72e+00	 2774
   35618	 9.68314	070.26	+01.40	300.6299	+33.4122	20005+3316 	20 00 35.3	+33 16 17	 84	 1.83e-01	 1.69e-01	 8.02e-01	 2049
   36351	 9.85090	070.26	-01.28	303.3010	+31.9660	20112+3148 	20 11 13.3	+31 48 51	 74	 1.56e-01	 5.84e-01	 3.76e+00	 2774
