#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9028
#Name: IX/28A
#Title:	ROSAT HRI Pointed Observations (1RXH) (ROSAT Team, 2000)
#Table	IX_28A_hricat:
#Name: IX/28A/hricat
#Title:	ROSAT Source Catalog of Pointed Observations with the High Resolution Imager (1RXH)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RAJ2000=308.2000, DEJ2000=+41.0000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_1RXH	(I2)	? Number of sources sharing a common 1RXH name        (link)	[ucd=NOTE]
#Column	1RXH	(A21)	Name of catalogued detection        (link)	[ucd=ID_MAIN]
#Column	ErrPos	(I3)	Total positional error	[ucd=ERROR]
#Column	CRate	(E9.2)	Estimate of net count rate	[ucd=PHOT_COUNT-RATE_X]
#Column	e_CRate	(E8.1)	? Mean error on CRate	[ucd=ERROR]
#Column	varFlag	(A1)	[NTP] Source variability	[ucd=CODE_VARIAB]
#Column	SRCflags	(A13)	[.cdefiu_mnpavw] Source flags	[ucd=CODE_MISC]
#Column	SEQflags	(A8)	[.DABEFMS_+] Sequence flags	[ucd=CODE_MISC]
#Column	Comment	(A5)	Source comment	[ucd=REMARKS]
#Column	begDate	(A10)	Observation start date	[ucd=TIME_DATE]
#Column	RAJ2000	(F8.4)	Source Right Ascension (J2000)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F8.4)	Source Declination (J2000)	[ucd=POS_EQ_DEC_MAIN]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	n_1RXH	1RXH	ErrPos	CRate	e_CRate	varFlag	SRCflags	SEQflags	Comment	begDate	RAJ2000	DEJ2000
	deg	deg	deg	deg	deg			arcsec	ct/s	ct/s					"Y:M:D"	deg	deg
--------	--------	------	------	--------	--------	--	---------------------	---	---------	--------	-	-------------	--------	-----	----------	--------	--------
   95022	 9.85376	070.11	-00.25	302.1874	+32.3988	  	1RXH J200844.9+322355	  4	 1.94e-03	 4.8e-04	N	.....u_.n....	......._	     	1997-04-11	302.1874	+32.3988
   95021	 9.85356	070.11	-00.25	302.1870	+32.3992	  	1RXH J200844.8+322357	  2	 1.82e-03	 4.7e-04	N	.....u_......	......._	     	1997-04-11	302.1870	+32.3992
   95023	 9.85325	070.11	-00.25	302.1871	+32.3995	  	1RXH J200844.9+322358	  2	 1.74e-03	 4.7e-04	N	......_......	.......+	     	1997-04-11	302.1871	+32.3995
   95034	 9.81601	070.15	-00.31	302.2684	+32.4059	 2	1RXH J200904.4+322421	  3	 3.66e-03	 4.7e-04	N	.....u_......	......._	     	1997-04-11	302.2684	+32.4059
   95033	 9.81588	070.15	-00.31	302.2685	+32.4060	 2	1RXH J200904.4+322421	  1	 3.73e-03	 4.8e-04	N	......_......	.......+	     	1997-04-11	302.2685	+32.4060
   95032	 9.81572	070.15	-00.30	302.2680	+32.4064	  	1RXH J200904.3+322422	  2	 3.77e-03	 4.8e-04	N	.....u_......	......._	     	1997-04-11	302.2680	+32.4064
   95035	 9.81568	070.15	-00.31	302.2688	+32.4061	  	1RXH J200904.5+322421	  4	 3.72e-03	 4.8e-04	N	.....u_......	......._	     	1997-04-11	302.2688	+32.4061
   95127	 9.77306	070.22	-00.49	302.4953	+32.3575	  	1RXH J200958.8+322127	  3	 3.17e-03	 8.1e-04	N	.d..i._.npav.	......._	     	1997-04-11	302.4953	+32.3575
   95129	 9.77212	070.22	-00.50	302.5053	+32.3544	  	1RXH J201001.2+322115	  5	 4.38e-03	 9.1e-04	N	.d..i._.npav.	......._	     	1997-04-11	302.5053	+32.3544
   95128	 9.77166	070.22	-00.50	302.5029	+32.3559	  	1RXH J201000.6+322121	  7	 3.78e-03	 8.7e-04	N	.d..iu_.np.v.	......._	     	1997-04-11	302.5029	+32.3559
   95130	 9.77088	070.22	-00.50	302.5062	+32.3554	  	1RXH J201001.4+322119	  6	 4.33e-03	 9.0e-04	N	.d..iu_.np.v.	......._	     	1997-04-11	302.5062	+32.3554
   95120	 9.76500	070.22	-00.47	302.4773	+32.3740	  	1RXH J200954.5+322226	  5	 3.33e-03	 6.8e-04	N	.d..iu_..p.v.	......._	     	1997-04-11	302.4773	+32.3740
   95119	 9.76447	070.22	-00.47	302.4768	+32.3748	  	1RXH J200954.4+322229	  6	 3.26e-03	 6.8e-04	N	.d..iu_.np.v.	......._	     	1997-04-11	302.4768	+32.3748
   95121	 9.76446	070.22	-00.47	302.4797	+32.3736	  	1RXH J200955.1+322224	  4	 2.90e-03	 6.8e-04	N	.d..i._..p.v.	.......+	     	1997-04-11	302.4797	+32.3736
   95008	 9.71291	070.24	-00.14	302.1609	+32.5698	  	1RXH J200838.6+323411	  3	 1.04e-03	 3.1e-04	T	.....u_......	......._	     	1997-04-11	302.1609	+32.5698
   95009	 9.71271	070.24	-00.14	302.1614	+32.5698	  	1RXH J200838.7+323411	  2	 9.80e-04	 3.1e-04	T	......_......	.......+	     	1997-04-11	302.1614	+32.5698
   95122	 9.73833	070.25	-00.47	302.4894	+32.3987	 2	1RXH J200957.4+322355	  1	 5.42e-03	 6.4e-04	N	......_......	.......+	     	1997-04-11	302.4894	+32.3987
   95123	 9.73833	070.25	-00.47	302.4894	+32.3987	 2	1RXH J200957.4+322355	  2	 5.45e-03	 6.4e-04	N	.....u_......	......._	     	1997-04-11	302.4894	+32.3987
   95125	 9.73809	070.25	-00.47	302.4903	+32.3986	  	1RXH J200957.6+322354	  6	 5.39e-03	 6.4e-04	N	..e.iu_..p...	......._	     	1997-04-11	302.4903	+32.3986
   95126	 9.73798	070.25	-00.47	302.4901	+32.3988	  	1RXH J200957.6+322355	  4	 5.38e-03	 6.4e-04	N	.....u_......	......._	     	1997-04-11	302.4901	+32.3988
   95124	 9.73791	070.25	-00.47	302.4898	+32.3990	  	1RXH J200957.5+322356	  3	 5.40e-03	 6.4e-04	N	.....u_......	......._	     	1997-04-11	302.4898	+32.3990
   95115	 9.69413	070.28	-00.38	302.4246	+32.4755	  	1RXH J200941.9+322831	  1	 1.14e-03	 3.1e-04	T	......_......	.......+	     	1997-04-11	302.4246	+32.4755
   95113	 9.69388	070.28	-00.38	302.4243	+32.4759	  	1RXH J200941.8+322833	  2	 1.15e-03	 3.1e-04	T	.....u_......	......._	     	1997-04-11	302.4243	+32.4759
   95114	 9.69361	070.28	-00.38	302.4243	+32.4762	  	1RXH J200941.8+322834	  4	 1.18e-03	 3.1e-04	N	..e.iu_.np...	......._	     	1997-04-11	302.4243	+32.4762
   95116	 9.69346	070.28	-00.38	302.4247	+32.4762	  	1RXH J200941.9+322834	  6	 1.12e-03	 3.1e-04	N	..e.iu_.np...	......._	     	1997-04-11	302.4247	+32.4762
   94994	 9.64139	070.30	+00.06	302.0011	+32.7246	  	1RXH J200800.2+324328	  6	 5.50e-03	 1.1e-03	N	.d..i._..p.v.	.......+	     	1997-04-11	302.0011	+32.7246
   95039	 9.66368	070.30	-00.24	302.2969	+32.5650	  	1RXH J200911.2+323354	  2	 2.57e-02	 8.8e-04	N	.....u_......	......._	     	1997-04-11	302.2969	+32.5650
   95040	 9.66334	070.30	-00.24	302.2971	+32.5653	  	1RXH J200911.3+323354	  1	 2.57e-02	 8.8e-04	N	......_......	.......+	     	1997-04-11	302.2971	+32.5653
   95041	 9.66334	070.30	-00.24	302.2971	+32.5653	 3	1RXH J200911.3+323355	  1	 2.57e-02	 8.8e-04	N	.....u_......	......._	     	1997-04-11	302.2971	+32.5653
   95043	 9.66334	070.30	-00.24	302.2971	+32.5653	 3	1RXH J200911.3+323355	  1	 2.57e-02	 8.8e-04	N	.....u_......	......._	     	1997-04-11	302.2971	+32.5653
   95042	 9.66330	070.30	-00.24	302.2972	+32.5653	 3	1RXH J200911.3+323355	  1	 2.57e-02	 8.8e-04	N	.....u_......	......._	     	1997-04-11	302.2972	+32.5653
   94995	 9.63926	070.30	+00.06	302.0031	+32.7261	  	1RXH J200800.7+324333	  7	 5.44e-03	 1.1e-03	N	.de.iu_.np.v.	......._	     	1997-04-11	302.0031	+32.7261
   94996	 9.63454	070.31	+00.05	302.0080	+32.7292	  	1RXH J200801.9+324345	  4	 6.01e-03	 1.1e-03	N	.d..i._.np.v.	......._	     	1997-04-11	302.0080	+32.7292
