#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9010
#Name: IX/10A
#Title:	ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title:	The 1RXS catalogue
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F9.6)	Distance from center (RAJ2000=308.20000, DEJ2000=+41.00000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F9.5)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F9.5)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	1RXS	(A21)	ROSAT All-Sky Survey Catalogue source name (1)        (link)	[ucd=ID_MAIN]
#Column	RAJ2000	(F9.5)	Right ascension (J2000), decimal degrees	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F9.5)	Declination (J2000), decimal degrees	[ucd=POS_EQ_DEC_MAIN]
#Column	PosErr	(I2)	? Total positional error (including 6" systematic error)	[ucd=ERROR]
#Column	NewFlag	(A4)	[T._] 'new data' flags (3)	[ucd=CODE_MISC]
#Column	Count	(E9.2)	? Source countrate (4)	[ucd=PHOT_COUNT-RATE_X]
#Column	e_Count	(E9.2)	? Error on Count (4)	[ucd=ERROR]
#Column	HR1	(F5.2)	[-1/1]? Hardness ratio 1 (5)	[ucd=SPECT_HARDNESS-RATIO]
#Column	e_HR1	(F5.2)	? Error on HR1 (6)	[ucd=ERROR]
#Column	HR2	(F5.2)	[-1/1]? hardness ratio 2 (5)	[ucd=SPECT_HARDNESS-RATIO]
#Column	e_HR2	(F5.2)	? Error on HR2 (6)	[ucd=ERROR]
#Column	SASS	(I8)	Identification number of SASS field (12)	[ucd=ID_FIELD]
#Column	MASOL	(I4)	SASS source number (MASOL number) in SASS field (mainly for internal use)	[ucd=ID_NUMBER]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	1RXS	RAJ2000	DEJ2000	PosErr	NewFlag	Count	e_Count	HR1	e_HR1	HR2	e_HR2	SASS	MASOL
	deg	deg	deg	deg	deg		deg	deg	arcsec		ct/s	ct/s						
--------	---------	------	------	---------	---------	---------------------	---------	---------	--	----	---------	---------	-----	-----	-----	-----	--------	----
   16123	 9.664931	070.30	-00.24	302.30002	+32.56222	1RXS J200912.0+323344	302.30002	+32.56222	 8	__..	 1.23e-01	 1.58e-02	 0.82	 0.08	 0.55	 0.11	33011047	0159
   16048	 9.515215	070.45	+01.56	300.57916	+33.65333	1RXS J200219.0+333912	300.57916	+33.65333	27	__..	 1.10e-01	 1.89e-02	 0.41	 0.23	 0.05	 0.28	33011046	0102
   16043	 9.452873	070.53	+01.73	300.45874	+33.80972	1RXS J200150.1+334835	300.45874	+33.80972	20	__..	 5.97e-02	 1.60e-02	 0.83	 0.27	 0.00	 0.32	33011046	0095
   16230	 9.432737	071.15	-02.81	305.37875	+31.84292	1RXS J202130.9+315034	305.37875	+31.84292	11	__..	 5.09e-02	 1.05e-02	 0.05	 0.20	 0.48	 0.27	33011047	0184
   16008	 8.910756	071.33	+03.06	299.59125	+35.19903	1RXS J195821.9+351156	299.59125	+35.19903	 6	TT..	 6.12e+01	 3.15e-01	 0.98	 0.00	 0.67	 0.00	33011046	0052
   16231	 8.972087	071.54	-02.55	305.38751	+32.31472	1RXS J202133.0+321853	305.38751	+32.31472	 7	__..	 2.39e-01	 2.09e-02	 0.61	 0.07	 0.14	 0.09	33011047	0172
   16235	 8.856149	071.66	-02.54	305.46542	+32.41806	1RXS J202151.7+322505	305.46542	+32.41806	12	__..	 8.19e-02	 1.27e-02	-0.10	 0.15	 0.40	 0.21	33011047	0168
   16345	 9.988797	072.06	-05.50	308.56586	+31.01556	1RXS J203415.8+310056	308.56586	+31.01556	19	__..	 6.20e-02	 1.22e-02	 0.76	 0.18	 0.00	 0.23	33011048	0845
   16364	 9.945307	072.20	-05.62	308.77292	+31.06542	1RXS J203505.5+310355	308.77292	+31.06542	11	__..	 1.16e-01	 1.64e-02	-0.35	 0.14	 0.54	 0.23	33011048	0833
   16342	 9.529692	072.32	-05.09	308.35376	+31.47111	1RXS J203324.9+312816	308.35376	+31.47111	10	__..	 2.08e-01	 2.44e-02	 0.30	 0.11	 0.19	 0.13	33011048	0685
   16187	 7.680953	072.38	-00.80	304.22708	+33.99306	1RXS J201654.5+335935	304.22708	+33.99306	 7	__..	 2.54e-01	 1.98e-02	-0.06	 0.07	 0.33	 0.10	33011047	0085
   15952	 8.764449	072.45	+05.27	297.95291	+37.28667	1RXS J195148.7+371712	297.95291	+37.28667	25	__..	 9.74e-02	 1.95e-02	 0.99	 0.15	 0.36	 0.20	33010044	0278
