#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9030
#Name: IX/30
#Title:	Second ROSAT PSPC Catalog (ROSAT, 2000)
#Table	IX_30_2rxp:
#Name: IX/30/2rxp
#Title:	The 2RXP Catalog
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.5)	Distance from center (RAJ2000=308.2000, DEJ2000=+41.0000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	Seq	(A16)	ROSAT detection sequence number        (link)	[ucd=ID_NUMBER]
#Column	S	(A1)	[S] for source in "short" catalog        (link)	[ucd=CODE_MISC]
#Column	m_2RXP	(A1)	[a-l] Multiplicity index	[ucd=CODE_MULT_INDEX]
#Column	2RXP	(A16)	2RXP designation (Jhhmmss.s+ddmmss)	[ucd=ID_MAIN]
#Column	Crate	(E10.3)	Estimate of net count rate	[ucd=PHOT_COUNT-RATE_X]
#Column	SrcFlags	(A13)	[cdefislmnpavw.] Source Flags	[ucd=CODE_MISC]
#Column	RAJ2000	(F8.4)	Source Right ascension (J2000)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F8.4)	Source Declination (J2000)	[ucd=POS_EQ_DEC_MAIN]
#Column	HR1	(F5.2)	Hardness ratio 1 (truncated to -9.99...99.99)	[ucd=SPECT_HARDNESS-RATIO]
#Column	HR2	(F5.2)	hardness ratio 2 (truncated to -9.99...99.99)	[ucd=SPECT_HARDNESS-RATIO]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	Seq	S	m_2RXP	2RXP	Crate	SrcFlags	RAJ2000	DEJ2000	HR1	HR2
	deg	deg	deg	deg	deg					ct/s		deg	deg		
--------	--------	------	------	--------	--------	----------------	-	-	----------------	----------	-------------	--------	--------	-----	-----
   84710	 9.99819	069.92	+00.81	301.0100	+32.8100	2rp500323n00.020	S	 	J200402.4+324835	 3.711e-02	.de.isl..p.v.	301.0100	+32.8100	 0.98	-0.80
   84691	 9.98975	069.93	+00.89	300.9317	+32.8631	2rp500323n00.013	 	 	J200343.6+325147	 1.582e-02	.....sl.n..v.	300.9317	+32.8631	 1.24	 0.48
   84636	 9.96689	069.96	+01.06	300.7763	+32.9781	2rp500323n00.006	 	 	J200306.3+325840	 1.792e-02	.d..isl.npav.	300.7763	+32.9781	 0.93	-0.48
   84623	 9.95509	069.97	+01.10	300.7505	+33.0072	2rp500323n00.003	 	 	J200300.1+330026	 1.245e-02	.d..isl.npav.	300.7505	+33.0072	 1.33	 0.09
   84705	 9.94692	069.98	+00.86	300.9863	+32.8842	2rp500323n00.010	 	 	J200356.7+325303	 1.755e-02	.de.isl.np.v.	300.9863	+32.8842	 0.84	-0.16
   84679	 9.91438	070.01	+00.97	300.9034	+32.9694	2rp500323n00.005	 	 	J200336.8+325810	 1.495e-02	.de.isl.np.v.	300.9034	+32.9694	 1.02	 0.60
   84743	 9.90350	070.02	+00.75	301.1271	+32.8592	2rp500323n00.015	S	 	J200430.5+325132	 2.133e-02	.d..isl..p.v.	301.1271	+32.8592	 0.76	 0.03
   84740	 9.90276	070.02	+00.76	301.1154	+32.8664	2rp500124n00.011	S	 	J200427.7+325159	 4.808e-02	.............	301.1154	+32.8664	 0.81	-0.05
   84742	 9.89422	070.03	+00.76	301.1229	+32.8725	2rp500084n00.003	S	 	J200429.5+325220	 3.676e-02	.d..isl..p.vw	301.1229	+32.8725	 0.74	-0.05
   84634	 9.85308	070.08	+01.14	300.7746	+33.1172	2rp500323n00.001	S	 	J200305.9+330702	 1.073e-02	.d..isl..p.v.	300.7746	+33.1172	 1.00	-0.34
   84759	 9.78504	070.14	+00.77	301.1767	+32.9733	2rp500323n00.007	S	 	J200442.4+325823	 1.091e-02	.....sl....v.	301.1767	+32.9733	 0.39	-0.23
   84745	 9.52025	070.41	+00.99	301.1288	+33.3175	2rp500124n00.010	 	 	J200430.9+331903	 2.206e-02	.d..isl.np.v.	301.1288	+33.3175	 0.69	 0.10
