#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-05-20T16:50:48
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7638
#INFO	CatalogsExamined=14
#  14 catalogues with potential matches were examined
#
#INFO	Target=308.200000+41.000000,rm=600.

#RESOURCE=9029
#Name: IX/29
#Title:	ROSAT All-Sky Survey Faint Source Catalog (Voges+ 2000)
#Table	IX_29_rass_fsc:
#Name: IX/29/rass_fsc
#Title:	The ROSAT All Sky Survey Faint Source Catalog
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F9.6)	Distance from center (RAJ2000=308.20000, DEJ2000=+41.00000)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F9.5)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F9.5)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	1RXS	(A21)	ROSAT All-Sky Survey Catalogue source name (1)        (link)	[ucd=ID_MAIN]
#Column	RAJ2000	(F9.5)	Right ascension (J2000), decimal degrees	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F9.5)	Declination (J2000), decimal degrees	[ucd=POS_EQ_DEC_MAIN]
#Column	PosErr	(I3)	? Total positional error (including 6" systematic error)	[ucd=ERROR]
#Column	NewFlag	(A4)	[T._] 'new data' flags (3)	[ucd=CODE_MISC]
#Column	Count	(E9.2)	? Source countrate (4)	[ucd=PHOT_COUNT-RATE_X]
#Column	e_Count	(E9.2)	? Error on Count (4)	[ucd=ERROR]
#Column	HR1	(F5.2)	[-1/1]? Hardness ratio 1 (5)	[ucd=SPECT_HARDNESS-RATIO]
#Column	e_HR1	(F5.2)	? Error on HR1 (6)	[ucd=ERROR]
#Column	HR2	(F5.2)	[-1/1]? hardness ratio 2 (5)	[ucd=SPECT_HARDNESS-RATIO]
#Column	e_HR2	(F5.2)	? Error on HR2 (6)	[ucd=ERROR]
#Column	SASS	(I8)	Identification number of SASS field (12)	[ucd=ID_FIELD]
#Column	MASOL	(I4)	SASS source number (MASOL number) in SASS field (mainly for internal use)	[ucd=ID_NUMBER]

recno	_r	_Glon	_Glat	_RAJ2000	_DEJ2000	1RXS	RAJ2000	DEJ2000	PosErr	NewFlag	Count	e_Count	HR1	e_HR1	HR2	e_HR2	SASS	MASOL
	deg	deg	deg	deg	deg		deg	deg	arcsec		ct/s	ct/s						
--------	---------	------	------	---------	---------	---------------------	---------	---------	---	----	---------	---------	-----	-----	-----	-----	--------	----
   34552	 9.940924	069.99	+00.22	301.63916	+32.55305	1RXS J200633.4+323311	301.63916	+32.55305	 27	....	 2.00e-02	 8.60e-03	 0.78	 0.38	 0.45	 0.47	33011047	 157
   34435	 9.941702	070.17	+02.61	299.32416	+33.96861	1RXS J195717.8+335807	299.32416	+33.96861	 18	....	 2.10e-02	 9.54e-03	 0.67	 0.32	-0.61	 0.37	33011046	  93
   34431	 9.871401	070.28	+02.82	299.17752	+34.17820	1RXS J195642.6+341041	299.17752	+34.17820	 19	....	 3.32e-02	 1.29e-02	 0.11	 0.39	 0.37	 0.52	33011046	  87
   34543	 9.642424	070.29	+00.29	301.75668	+32.84083	1RXS J200701.6+325027	301.75668	+32.84083	 16	....	 1.72e-02	 7.42e-03	 1.00	 0.37	 0.08	 0.40	33011047	 125
   34546	 9.641622	070.30	+00.05	302.00708	+32.72153	1RXS J200801.7+324317	302.00708	+32.72153	 16	....	 2.25e-02	 7.97e-03	 0.33	 0.32	 0.18	 0.41	33011047	 136
   34545	 9.631802	070.30	+00.17	301.89252	+32.78708	1RXS J200734.2+324713	301.89252	+32.78708	 17	....	 1.27e-02	 6.15e-03	 0.99	 0.35	-0.71	 0.67	33011047	 131
   34544	 9.586510	070.35	+00.15	301.94250	+32.81528	1RXS J200746.2+324855	301.94250	+32.81528	 13	....	 2.11e-02	 7.85e-03	 0.74	 0.24	 0.06	 0.37	33011047	 128
   34439	 9.591737	070.39	+01.75	300.34915	+33.70472	1RXS J200123.8+334217	300.34915	+33.70472	 16	....	 1.58e-02	 7.46e-03	 1.00	 0.78	-1.00	 0.32	33011046	 101
   34555	 9.593329	070.39	-00.43	302.55084	+32.53486	1RXS J201012.2+323205	302.55084	+32.53486	 22	....	 2.65e-02	 8.48e-03	 0.17	 0.29	-0.10	 0.43	33011047	 163
   34437	 9.497160	070.48	+01.68	300.47791	+33.74097	1RXS J200154.7+334427	300.47791	+33.74097	 22	....	 2.59e-02	 1.05e-02	 1.00	 0.22	 0.39	 0.45	33011046	  97
   34429	 9.609593	070.51	+02.66	299.49750	+34.28833	1RXS J195759.4+341718	299.49750	+34.28833	 28	....	 2.55e-02	 1.16e-02	 0.75	 0.27	 0.51	 0.47	33011046	  84
   34539	 9.346252	070.58	+00.53	301.70459	+33.21278	1RXS J200649.1+331246	301.70459	+33.21278	 25	....	 1.63e-02	 7.15e-03	-0.81	 0.24	-1.00	 2.57	33011047	 106
   34550	 9.304794	070.73	-00.81	303.14999	+32.61472	1RXS J201236.0+323653	303.14999	+32.61472	 42	....	 9.98e-03	 4.61e-03	 0.84	 0.77	 0.89	 0.25	33011047	 152
