#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-02-24T16:30:15
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml10323

#RESOURCE=7235
#Name: VII/235
#Title:	Quasars and Active Galactic Nuclei (11th Ed.) (Veron+, 2003)
#Table	VII_235_table3:
#Name: VII/235/table3
#Title:	Active galaxies (fainter than -23)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	notRadio	(A1)	[*] '*' if not detected in radio (1)	[ucd=CODE_MISC]
#Column	Name	(A17)	Most common name of the object        (link)	[ucd=ID_IDENTIFIER]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (see also n_RAh)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(A9)	Declination J2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_RAh	(A1)	[AOR] Approximative/Optical/Radio position (2)	[ucd=NOTE]
#Column	F6cm	(F6.3)	? 6cm (5GHz) flux	[ucd=PHOT_FLUX_RADIO_5G]
#Column	r_F6cm	(I4)	[1,2377]? Reference of 6cm Flux        (link)	[ucd=REFER_CODE]
#Column	F11cm	(F5.2)	? 11cm (2.7GHz) flux (Jy)	[ucd=PHOT_FLUX_RADIO_2.7G]
#Column	r_F11cm	(I4)	[1,2377]? Reference of 11cm flux        (link)	[ucd=REFER_CODE]
#Column	l_z	(A1)	[>*] limit or method flag on z (4)	[ucd=CODE_LIMIT]
#Column	z	(F6.3)	? redshift	[ucd=REDSHIFT_HC]
#Column	Sp	(A4)	[S0-9?HPBLbhin. ] Spectrum classification (3)	[ucd=SPECT_TYPE_GENERAL]
#Column	n_Vmag	(A1)	[*RIO] Photographic(*), red(R), infra-red (I) or photographic O- or J- plates(O)	[ucd=NOTE]
#Column	Vmag	(F5.2)	? magnitude, V or other (see n_Vmag)	[ucd=PHOT_JHN_V]
#Column	B-V	(F5.2)	? colour index	[ucd=PHOT_JHN_B-V]
#Column	U-B	(F5.2)	? colour index	[ucd=PHOT_JHN_U-B]
#Column	Mabs	(F5.1)	? Absolute magnitude	[ucd=PHOT_ABS-MAG_BAND]
#Column	FC	(I4)	[1,2377]? Reference of the Finding Chart	[ucd=REFER_CODE]
#Column	r_Vmag	(I4)	[1,2377]? Reference of the Photometry        (link)	[ucd=REFER_CODE]
#Column	r_z	(I4)	[1,2377]? Reference of the redshift        (link)	[ucd=REFER_CODE]

recno	_Glon	_Glat	_RAJ2000	_DEJ2000	notRadio	Name	RAJ2000	DEJ2000	n_RAh	F6cm	r_F6cm	F11cm	r_F11cm	l_z	z	Sp	n_Vmag	Vmag	B-V	U-B	Mabs	FC	r_Vmag	r_z
	deg	deg	deg	deg			"h:m:s"	"d:m:s"		Jy		Jy						mag	mag	mag	mag
--------	------	------	--------	--------	-	-----------------	----------	---------	-	------	----	-----	----	-	------	----	-	-----	-----	-----	-----	----	----	----
       1	096.85	-59.62	000.0096	 +0.6275	*	SDSS J00000+0037 	00 00 02.3	+00 37 39	O	      	   2	     	    	 	 0.248	S1  	 	20.69	     	     	-20.3	    	    	   2
       2	095.44	-61.21	000.0137	 -1.1128	*	SDSS J00000-0106 	00 00 03.3	-01 06 46	O	      	   2	     	    	 	 0.022	S1  	 	19.58	     	     	-16.0	    	    	   2
       3	312.29	-52.59	000.0333	-63.5933	*	MS 23575-6352    	00 00 08.0	-63 35 36	 	      	    	     	    	 	 0.136	S1  	 	17.00	     	     	-22.6	1235	    	1960
       4	100.17	-55.20	000.0487	 +5.3881	*	RXS J00001+0523  	00 00 11.7	+05 23 17	O	      	    	     	    	 	 0.040	S1n 	 	16.40	     	     	-20.5	    	    	2337
       5	085.66	-68.88	000.0646	 -9.7986	*	SDSS J00002-0947 	00 00 15.5	-09 47 55	O	      	   2	     	    	 	 0.209	S1  	 	19.67	     	     	-20.9	    	    	   2
       6	096.27	-60.43	000.0671	 -0.2328	*	SDSS J00002-0013 	00 00 16.1	-00 13 58	O	      	   2	     	    	 	 0.110	S1  	 	19.97	     	     	-19.2	    	    	   2
       7	095.93	-60.81	000.0675	 -0.6483	*	SDSS J00002-0038 	00 00 16.2	-00 38 54	O	      	   2	     	    	 	 0.245	S1  	 	20.71	     	     	-20.2	    	    	   2
       8	039.92	-78.37	000.0883	-25.1367	*	XMM J00003-2508  	00 00 21.2	-25 08 12	O	      	    	     	    	 	 0.995	S1  	R	20.90	     	     	-22.8	    	    	 674
       9	040.05	-78.38	000.1083	-25.1142	*	XMM J00004-2506  	00 00 26.0	-25 06 51	O	      	    	     	    	 	 0.433	S1  	R	20.30	     	     	-21.4	    	    	 674
      10	040.23	-78.38	000.1154	-25.0786	*	XMM J00004-2504  	00 00 27.7	-25 04 43	O	      	    	     	    	 	 0.336	S1  	R	19.10	     	     	-22.0	    	    	 674
      11	040.56	-78.40	000.1525	-25.0183	*	XMM J00006-2501  	00 00 36.6	-25 01 06	O	      	    	     	    	 	 0.592	S2  	R	21.20	     	     	-21.2	    	    	 674
      12	096.41	-60.51	000.1571	 -0.2772	*	SDSS J00006-0016 	00 00 37.7	-00 16 38	O	      	   2	     	    	 	 0.195	S1  	 	20.43	     	     	-20.0	    	    	   2
      13	096.05	-60.94	000.1704	 -0.7475	*	SDSS J00006-0044 	00 00 40.9	-00 44 51	O	      	   2	     	    	 	 0.162	S1  	 	20.69	     	     	-19.3	    	    	   2
      14	028.44	-78.74	000.1913	-27.4400	*	2QZ J000045-2726 	00 00 45.9	-27 26 24	O	      	    	     	    	 	 0.382	S1  	*	19.04	     	-1.65	-22.9	    	 489	 489
      15	083.73	-70.12	000.2000	-11.2006	*	SDSS J00008-1112 	00 00 48.0	-11 12 02	O	      	   2	     	    	 	 0.106	S1  	 	19.46	     	     	-19.6	    	    	   2
      16	085.81	-69.04	000.2008	 -9.9011	*	SDSS J00008-0954 	00 00 48.2	-09 54 04	O	      	   1	     	    	 	 0.205	S1  	 	19.71	     	     	-20.8	    	    	   1
