#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2005-02-24T16:31:30
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml10681

#RESOURCE=7235
#Name: VII/235
#Title:	Quasars and Active Galactic Nuclei (11th Ed.) (Veron+, 2003)
#Table	VII_235_table1:
#Name: VII/235/table1
#Title:	Quasars (brighter than absolute magnitude -23)
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_Glon	(F6.2)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LON]
#Column	_Glat	(F6.2)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=POS_GAL_LAT]
#Column	_RAJ2000	(F8.4)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F8.4)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	notRadio	(A1)	[*] '*' if not detected in radio (1)	[ucd=CODE_MISC]
#Column	Name	(A17)	Most common name of the object        (link)	[ucd=ID_IDENTIFIER]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (see also n_RAh)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(A9)	Declination J2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	n_RAh	(A1)	[AOR] Approximative/Optical/Radio position (2)	[ucd=NOTE]
#Column	F6cm	(F6.3)	? 6cm (5GHz) flux	[ucd=PHOT_FLUX_RADIO_5G]
#Column	r_F6cm	(I4)	[1,2377]? Reference of 6cm Flux        (link)	[ucd=REFER_CODE]
#Column	F11cm	(F5.2)	? 11cm (2.7GHz) flux (Jy)	[ucd=PHOT_FLUX_RADIO_2.7G]
#Column	r_F11cm	(I4)	[1,2377]? Reference of 11cm flux        (link)	[ucd=REFER_CODE]
#Column	l_z	(A1)	[>*] limit or method flag on z (4)	[ucd=CODE_LIMIT]
#Column	z	(F6.3)	? redshift	[ucd=REDSHIFT_HC]
#Column	Sp	(A4)	[S0-9?HPBLbhin. ] Spectrum classification (3)	[ucd=SPECT_TYPE_GENERAL]
#Column	n_Vmag	(A1)	[*RIO] Photographic(*), red(R), infra-red (I) or photographic O- or J- plates(O)	[ucd=NOTE]
#Column	Vmag	(F5.2)	? magnitude, V or other (see n_Vmag)	[ucd=PHOT_JHN_V]
#Column	B-V	(F5.2)	? colour index	[ucd=PHOT_JHN_B-V]
#Column	U-B	(F5.2)	? colour index	[ucd=PHOT_JHN_U-B]
#Column	Mabs	(F5.1)	? Absolute magnitude	[ucd=PHOT_ABS-MAG_BAND]
#Column	FC	(I4)	[1,2377]? Reference of the Finding Chart	[ucd=REFER_CODE]
#Column	r_Vmag	(I4)	[1,2377]? Reference of the Photometry        (link)	[ucd=REFER_CODE]
#Column	r_z	(I4)	[1,2377]? Reference of the redshift        (link)	[ucd=REFER_CODE]

recno	_Glon	_Glat	_RAJ2000	_DEJ2000	notRadio	Name	RAJ2000	DEJ2000	n_RAh	F6cm	r_F6cm	F11cm	r_F11cm	l_z	z	Sp	n_Vmag	Vmag	B-V	U-B	Mabs	FC	r_Vmag	r_z
	deg	deg	deg	deg			"h:m:s"	"d:m:s"		Jy		Jy						mag	mag	mag	mag
--------	------	------	--------	--------	-	-----------------	----------	---------	-	------	----	-----	----	-	------	----	-	-----	-----	-----	-----	----	----	----
       1	094.62	-62.05	000.0054	 -2.0333	 	FIRST J00000-0202	00 00 01.3	-02 02 00	R	      	 165	     	    	 	 1.356	    	 	19.64	     	     	-25.3	    	    	 165
       2	012.71	-78.23	000.0058	-30.6075	*	2QZ J000001-3036 	00 00 01.4	-30 36 27	O	      	    	     	    	 	 1.143	    	*	20.10	     	-0.80	-24.4	    	 489	 489
       3	009.13	-78.02	000.0071	-31.3739	*	2QZ J000001-3122 	00 00 01.7	-31 22 26	O	      	    	     	    	 	 1.331	    	*	20.69	     	-0.99	-24.2	    	 489	 489
       4	039.57	-78.31	000.0113	-25.1936	*	XMM J00000-2511  	00 00 02.7	-25 11 37	O	      	    	     	    	 	 1.314	S1  	R	21.00	     	     	-23.4	    	    	 674
       5	353.95	-76.46	000.0117	-35.0592	*	MS 23574-3520    	00 00 02.8	-35 03 33	O	      	1960	     	    	 	 0.508	    	O	17.00	     	     	-25.5	1235	    	1960
       6	028.53	-78.59	000.0233	-27.4194	*	2QZ J000005-2725 	00 00 05.6	-27 25 10	O	      	    	     	    	 	 1.930	    	*	19.43	     	-1.07	-26.4	    	 487	 487
       7	108.13	-37.44	000.0392	+23.9544	*	PSS J0000+2357   	00 00 09.4	+23 57 16	 	      	    	     	    	 	 4.030	    	R	18.93	     	     	-28.6	    	    	 557
       8	084.56	-69.42	000.0392	-10.4644	*	SDSS J00001-1027 	00 00 09.4	-10 27 52	O	      	   1	     	    	 	 1.845	    	 	19.18	     	     	-26.5	    	    	   1
       9	009.52	-78.07	000.0404	-31.2800	*	2QZ J000009-3116 	00 00 09.7	-31 16 48	O	      	    	     	    	 	 1.727	    	*	19.05	     	-0.65	-26.5	    	 489	 489
      10	011.17	-78.18	000.0413	-30.9250	*	2QZ J000009-3055 	00 00 09.9	-30 55 30	O	      	    	     	    	 	 1.787	    	*	19.12	     	-1.19	-26.5	    	 487	 487
      11	110.15	-30.66	000.0421	+30.9333	 	GB6 23576+3039   	00 00 10.1	+30 56 00	R	 0.049	 778	     	    	 	 1.801	    	I	19.30	     	     	-25.4	    	    	1427
      12	006.26	-77.85	000.0425	-31.9972	*	2QZ J000010-3159 	00 00 10.2	-31 59 50	O	      	    	     	    	 	 1.638	    	*	20.44	     	-0.16	-24.9	    	 487	 487
      13	007.84	-77.97	000.0487	-31.6444	*	2QZ J000011-3138 	00 00 11.7	-31 38 40	O	      	    	     	    	 	 2.680	    	*	20.27	     	-0.61	-26.7	    	 489	 489
      14	096.46	-60.17	000.0500	 +0.0400	*	PB 5669          	00 00 12.0	+00 02 24	O	      	    	     	    	 	 0.479	    	O	18.10	     	     	-24.3	    	    	 892
      15	094.59	-62.19	000.0537	 -2.1736	*	Q 2357-024       	00 00 12.9	-02 10 25	 	      	    	     	    	*	 1.450	    	 	18.50	     	     	-26.7	2359	    	2359
      16	027.37	-78.63	000.0663	-27.6489	*	2QZ J000015-2738 	00 00 15.9	-27 38 56	O	      	    	     	    	 	 1.516	    	*	18.38	     	-0.46	-26.8	    	 489	 489
